,Brand,Bike Model,Model Year,Price (Rs),Finance_Available(Yes/No),City,State
711,TVS,TVS,2019.0,45000.0,Yes,"Tapa, Barnala", Punjab
712,Bajaj,Bajaj Pulsar 135LS,2010.0,21000.0,Yes,"Electronic City, Bangalore", Karnataka
713,Honda,Honda CB Shine SP,2016.0,35000.0,Yes,"Kalyanpur, Kanpur", Uttar Pradesh
714,KTM,KTM RC 200 GP,2023.0,210000.0,Yes,Tirupati, Andhra Pradesh
715,KTM,KTM 390 Adventure 2022,2022.0,315000.0,Yes,"Mira-Bhayandar, Thane", Maharashtra
716,Bajaj,Bajaj Pulsar 150 DTSi,2017.0,45000.0,Yes,Baran, Rajasthan
717,Bajaj,Bajaj Avenger Street 150,2017.0,42000.0,Yes,Dehradun, Utarakhand
718,Hero,Hero Maestro Edge 125 BS6,2020.0,45000.0,Yes,"Phulpur, Allahabad", Uttar Pradesh
719,Honda,Honda CB Unicorn 160,2015.0,40000.0,Yes,Bangalore, Karnataka
720,Bajaj,Bajaj Pulsar 125,2021.0,60000.0,Yes,Pimpri-Chinchwad, Maharashtra
721,Royal Enfield,Royal Enfield Bullet Electra,2021.0,157000.0,Yes,Azamgarh, Uttar Pradesh
722,Ola Electric,Ola S1 Pro Gen2,2023.0,100000.0,Yes,Thane, Maharashtra
723,Hero,Hero Passion XTec,2023.0,70000.0,Yes,"Misrikh, Sitapur", Uttar Pradesh
724,TVS,TVS Apache RTR 160 4V,2021.0,95000.0,Yes,Agra, Uttar Pradesh
725,Yamaha,Yamaha MT-15,2020.0,100000.0,Yes,"Electronic City, Bangalore", Karnataka
726,Yamaha,Yamaha FZ-X,2021.0,70000.0,Yes,Mumbai, Maharashtra
727,Honda,Honda Activa 6G Std,2022.0,78000.0,Yes,Tumkur, Karnataka
728,Honda,Honda CBF Stunner,2011.0,25000.0,Yes,"Nadiad, Kheda", Gujarat
729,Honda,Honda CB350RS,2022.0,170000.0,Yes,Hyderabad, Telangana
730,Hero Cycles,Bicycle Hercules,2023.0,9500.0,No,"Vasundhara, Ghaziabad", Uttar Pradesh
731,Royal Enfield,Royal Enfield Meteor 350 Supernova,2024.0,250000.0,Yes,"Vikhroli, Mumbai", Maharashtra
732,Yamaha,Yamaha FZ FI V2,2014.0,32000.0,Yes,"HSR Layout, Bangalore", Karnataka
733,Bajaj,Bajaj Avenger Street 220 BS6,2017.0,70000.0,Yes,Surat, Gujarat
734,Honda,Honda Shine 100,2025.0,68500.0,Yes,"Vrindavan, Mathura", Uttar Pradesh
735,Jawa,Jawa Perak BS6,2022.0,150000.0,Yes,Ahmedabad, Gujarat
736,KTM,KTM Duke 390,2022.0,250000.0,Yes,"Yelahanka, Bangalore", Karnataka
737,Harley,Harley Davidson Fat Bob,2022.0,1500000.0,Yes,"Rajouri Garden, West Delhi", Delhi
738,Yamaha,Yamaha Cygnus Ray ZR Street Rally,2018.0,45000.0,Yes,Indore, Madhya Pradesh
739,Ola Electric,Ola S1 Pro Gen2,2024.0,100000.0,Yes,"Karawal Nagar, North East Delhi", Delhi
740,Yamaha,Yamaha R15 V4,2023.0,175000.0,Yes,Chengalpattu, Tamil Nadu
741,Hero,Hero Maestro Edge,2016.0,50000.0,Yes,"Shaikpet, Hyderabad", Telangana
742,Yamaha,Yamaha FZ-S,2017.0,45000.0,Yes,Bhubaneshwar, Orissa
744,Hero,Hero Pleasure,2013.0,20500.0,Yes,Ghaziabad, Uttar Pradesh
745,Hero,Hero Maestro Edge,2018.0,27000.0,Yes,Gurgaon, Haryana
747,Jawa,Jawa Jawa,2021.0,130000.0,Yes,Angul, Orissa
748,Yamaha,Yamaha FZ-S FI V3 BS6,2019.0,60000.0,Yes,Pune, Maharashtra
749,Yamaha,Yamaha YZF R15 V3,2018.0,110000.0,Yes,Pune, Maharashtra
750,Royal Enfield,Royal Enfield Classic Battle Green,2021.0,220000.0,Yes,"Banashankari, Bangalore", Karnataka
751,Jawa,Jawa 42 Dual Channel ABS AllStar Black,2021.0,100001.0,Yes,"Shibpur, Howrah", West Bengal
752,Bajaj,Bajaj Pulsar 150 Twin Disc BS6,2021.0,70000.0,Yes,Hyderabad, Telangana
753,Hero,Hero Xtreme 160R 4V Connected 2.0,2024.0,120000.0,Yes,Kolkata, West Bengal
754,Royal Enfield,Royal Enfield Bullet Standard 350,2020.0,150000.0,Yes,South Delhi, Delhi
755,TVS,TVS Raider Split Seat,2022.0,70000.0,Yes,Jaipur, Rajasthan
756,Hero,Hero Xtreme,2011.0,18700.0,Yes,Gurgaon, Haryana
757,Bajaj,Bajaj Pulsar 150,2011.0,18000.0,Yes,"Seemapuri, Shahdara", Delhi
758,KTM,KTM Duke 390,2016.0,89000.0,Yes,"Sanganer, Jaipur", Rajasthan
760,Ola Electric,Ola S1 Air 3kWh,2023.0,75000.0,Yes,"Vasai-Virar, Palghar", Maharashtra
761,Bajaj,Bajaj Dominar 250,2021.0,130000.0,Yes,"Ameerpet, Hyderabad", Telangana
762,Yamaha,Yamaha YZF R15 V3 BS6,2021.0,110000.0,Yes,Hyderabad, Telangana
763,Ola Electric,Ola S1 Pro Gen2,2023.0,65000.0,Yes,Dharwad, Karnataka
764,Bajaj,Bajaj Pulsar 200 NS,2017.0,75000.0,Yes,"Whitefield, Bangalore", Karnataka
765,BMW,BMW G 310 RR,2022.0,225000.0,Yes,"Velachery, Chennai", Tamil Nadu
766,Yezdi,Yezdi Roadster Dark,2023.0,180000.0,Yes,"Alandur, Chennai", Tamil Nadu
767,KTM,KTM RC 200,2019.0,125000.0,Yes,"Prithla, Palwal", Haryana
