Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Bajaj Discover 125 ST,2012,"Tambaram, Chengalpattu, Tamil Nadu",20000,Yes
Bajaj Pulsar RS 200 ABS,2023,"Pimpri-Chinchwad, Pune, Maharashtra",150000,Yes
Royal Enfield Classic 350 BS VI,2018,"Gurgaon, Haryana",145000,Yes
Ather 450X,2022,"Mumbai, Maharashtra",100000,Yes
TVS Apache RTR 200 4V ABS Race Edition 2.0,2021,"Thane, Maharashtra",100000,Yes
Hero Splendor iSmart 110,2017,"Kozhikode, Kerala",26000,Yes
Yamaha FZ-S FI Hybrid,2025,"Mumbai, Maharashtra",155000,Yes
TVS Raider 125,2022,"Anna Nagar, Chennai, Tamil Nadu",65000,Yes
Bajaj Pulsar 150 DTSi,2008,"Pune, Maharashtra",25000,Yes
Royal Enfield Classic Stealth Black,2022,"Agra, Uttar Pradesh",185000,Yes
Bajaj Avenger Cruise 220,2017,"Hyderabad, Telangana",60000,Yes
KTM Duke 200 2024,2024,"Shenkottai, Tenkasi, Tamil Nadu",200000,Yes
Honda Dream Yuga,2014,"Tiruchirappalli, Tamil Nadu",30000,Yes
Jawa 42 Bobber Black Mirror,2024,"Mau, Uttar Pradesh",225000,Yes
BMW G 310 GS,2022,"Mumbai, Maharashtra",330000,Yes
Royal Enfield Hunter 350 Metro,2022,"Shimoga, Karnataka",147000,Yes
Suzuki Access 125,2017,"Thane, Maharashtra",17000,Yes
Benelli TNT 600 i,2017,"Mumbai, Maharashtra",500000,Yes
Bajaj CT 100,2015,"Sri Ganganagar, Rajasthan",30000,Yes
