Bike Model,Model Year,Location,Price (Rs),Finance_Available(Yes/No)
Honda CB Shine,2018,"Bharuch, Gujarat",40000,Yes
Vespa VXL 125 BS6,2023,,,Yes
Hero XPulse 200T BS6,2021,"Kolkata, West Bengal",62000,Yes
Suzuki Gixxer 150,2015,"Bellandur, Bangalore, Karnataka",35000,Yes
Honda Shine 125 Drum,2011,"Bangalore, Karnataka",45000,Yes
Triumph Scrambler 400 X,2024,"Pune, Maharashtra",260000,Yes
Honda Activa 4G,2018,"Vadodara, Gujarat",40000,Yes
Bajaj Pulsar NS200,2017,"Ameerpet, Hyderabad, Telangana",70000,Yes
Bicycle  LIBERTY SWIFT,2025,"Noida, Uttar Pradesh",25000,No
Bajaj Pulsar 150 Neon BS6,2021,"Hyderabad, Telangana",65000,Yes
Honda CB Trigger,2013,"Pimpri-Chinchwad, Pune, Maharashtra",50000,Yes
Ola S1 Pro,2024,"Rajajinagar, Bangalore, Karnataka",125000,Yes
Royal Enfield Classic 350,2017,"Ambattur, Chennai, Tamil Nadu",145000,Yes
TVS Apache RR 310,2020,"Thane, Maharashtra",129999,Yes
Yamaha MT-15 Ver 2.0,2022,"Gurgaon, Haryana",110000,Yes
Bajaj Pulsar 150 Twin Disc,2018,"Nashik, Maharashtra",48000,Yes
Yezdi Adventure Gloss,2022,"Anand, Gujarat",126000,Yes
Harley Davidson Iron 883,2016,"Bangalore, Karnataka",567000,Yes
BMW G 310 R,2023,"Patna, Bihar",225000,Yes
Bajaj Pulsar 150,2016,"Narot Jaimal Singh, Pathankot, Punjab",35000,Yes
Royal Enfield Hunter 350 Metro,2022,"Meerut, Uttar Pradesh",150000,Yes
Royal Enfield Bullet Electra 5S,2008,"Kozhikode, Kerala",65000,Yes
Hero Splendor Plus IBS i3s,2017,"Hyderabad, Telangana",45000,Yes
Bajaj Avenger Street 160,2021,"Gurgaon, Haryana",90000,Yes
,,"Navi Mumbai, Maharashtra",135000,Yes
TVS Jupiter,2021,"Manesar, Gurgaon, Haryana",45000,Yes
Revolt RV1 Plus,2024,"Taoru, Nuh, Haryana",95000,Yes
KTM 390 Adventure 2023,2023,"Whitefield, Bangalore, Karnataka",270000,Yes
Royal Enfield Himalayan,2016,"Bangalore, Karnataka",85000,Yes
Royal Enfield Hunter 350 Metro,2023,"Baraut, Bagpat, Uttar Pradesh",140000,Yes
TVS Apache RTR 160 4V,2018,"Narsingi, Rangareddy, Telangana",50000,Yes
TVS iQube Electric,2023,"North West Delhi, Delhi",95000,Yes
Hero Pleasure,2018,"Ahmedabad, Gujarat",24000,Yes
Vida V1 Pro,2023,"Indore, Madhya Pradesh",105000,Yes
Ola S1 Pro,2023,"Bangalore, Karnataka",125000,Yes
Ola S1 Air 3kWh,2024,"Hassan, Karnataka",95000,Yes
,,"Lucknow, Uttar Pradesh",195000,Yes
Royal Enfield Continental GT 650 Twin,2025,"Satara, Maharashtra",380000,Yes
Bajaj Pulsar 125,2023,"Danapur, Patna, Bihar",65000,Yes
Royal Enfield Classic 350,2017,"Bathinda, Punjab",145000,Yes
Ola S1 Pro Gen2,2024,"Barakar, Paschim Bardhaman, West Bengal",80000,Yes
TVS Ronin TD,2023,"Hosur, Tamil Nadu",170000,Yes
Royal Enfield Classic 350,2018,"KR Puram, Bangalore, Karnataka",170000,Yes
Hero Xtreme 125R,2025,"New Delhi, Delhi",90000,Yes
Suzuki Gixxer SF BS6,2024,"Auraiya, Uttar Pradesh",145000,Yes
Suzuki V-Strom SX,2022,"Ahmedabad, Gujarat",130000,Yes
Hero Xtreme 125R,2024,"Faridabad, Haryana",88000,Yes
Suzuki Gixxer SF,2017,"Pune, Maharashtra",35000,Yes
KTM Duke 390,2014,"Lucknow, Uttar Pradesh",150000,Yes
BMW G 310 GS,2023,"Hyderabad, Telangana",320000,Yes
KTM Duke 200,2016,"Kalyan, Thane, Maharashtra",65000,Yes
Honda Activa 5G,2018,"Kottucherry, Karaikal, Pondicherry",45000,Yes
Suzuki Gixxer SF BS6,2024,"Kadapa, Andhra Pradesh",100000,Yes
Hero Pleasure Plus BS6,2022,"Hadapsar, Pune, Maharashtra",60000,Yes
TVS Scooty Pep Plus,2011,,,Yes
Royal Enfield Hunter 350 2025,2023,"Shaikpet, Hyderabad, Telangana",170000,Yes
Harley Davidson X440 S,2025,"Chennai, Tamil Nadu",325000,Yes
Yamaha R15 V4,2021,"Andheri, Mumbai, Maharashtra",120000,Yes
BMW G 310 R,2025,,,Yes
Honda CB350 DLX Pro,2023,"Kalyan, Thane, Maharashtra",180000,Yes
Honda XBlade BS6,2020,"Chennai, Tamil Nadu",70000,Yes
Honda CB Unicorn 160,2016,"Amberpet, Hyderabad, Telangana",35000,Yes
Suzuki Access 125 CBS,2019,"Navi Mumbai, Maharashtra",50000,Yes
Royal Enfield Thunderbird 350,2013,"Bellandur, Bangalore, Karnataka",65000,Yes
BMW G 310 RR,2023,"New Delhi, Delhi",270000,Yes
TVS NTORQ 125,2022,"Kalna, Bardhaman, West Bengal",72000,Yes
Ola S1,2023,"Marathahalli, Bangalore, Karnataka",115000,Yes
Yamaha FZ-S,2021,"Khammam, Telangana",70000,Yes
Honda CBR 250R ABS,2015,"Ahmedabad, Gujarat",46000,Yes
Bajaj Pulsar 135LS,2013,,,Yes
Suzuki Avenis 125 Standard Edition,2024,"Faridabad, Haryana",75000,Yes
Aprilia SR 160,2022,,,Yes
Honda CB Unicorn 160,2018,"Hebbal, Bangalore, Karnataka",75000,Yes
TVS Apache RTR 200 4V ABS,2020,"Anna Nagar, Chennai, Tamil Nadu",100000,Yes
Honda Grazia,2018,"Bally, Howrah, West Bengal",50000,Yes
Hero Xtreme,2013,"Rewa, Madhya Pradesh",35000,Yes
Royal Enfield Thunderbird 350,2016,"Hyderabad, Telangana",95000,Yes
Bajaj Pulsar 220F,2014,"Hadapsar, Pune, Maharashtra",35000,Yes
Royal Enfield Meteor 350 Supernova,2021,"Pune, Maharashtra",210000,Yes
Jawa 42 Dual Tone,2021,"Hyderabad, Telangana",130000,Yes
Hero Passion Pro,2013,"Pune, Maharashtra",32000,Yes
Yamaha FZ-X,2023,"Hyderabad, Telangana",100000,Yes
Ola S1 Pro Gen2,2025,"Deoband, Saharanpur, Uttar Pradesh",135000,Yes
Royal Enfield Hunter 350 Metro,2023,"Sarjapur Road, Bangalore, Karnataka",185000,Yes
Yamaha FZ-S FI V3 BS6,2020,"Mulund West, Mumbai, Maharashtra",75000,Yes
Yamaha YZF R15 V2,2017,"Dhanpuri, Shahdol, Madhya Pradesh",55000,Yes
Bajaj Pulsar AS 150,2015,"Bhubaneshwar, Orissa",33000,Yes
KTM Duke 125 2022,2022,"Ameenpur, Sangareddy, Telangana",160000,Yes
Hero CBZ Xtreme,2010,"Kalyan, Thane, Maharashtra",26000,Yes
Honda Shine 125,2019,"Ghaziabad, Uttar Pradesh",40000,Yes
Ola S1 Pro Gen2,2024,"Hyderabad, Telangana",135000,Yes
Yamaha YZF R15 V3 BS6,2022,"Shikohabad, Firozabad, Uttar Pradesh",125000,Yes
TVS iQube Electric,2025,,,Yes
TVS Apache RTR 160 4V 2025,2025,"Mumbai, Maharashtra",145000,Yes
Yamaha YZF R15,2022,"Chennai, Tamil Nadu",120000,Yes
Yamaha FZS 25,2019,"BTM Layout, Bangalore, Karnataka",75000,Yes
Ola S1 Pro Gen2,2024,"Kolkata, West Bengal",120000,Yes
Bajaj Pulsar 200 NS,2013,"Gurgaon, Haryana",34500,Yes
Triumph Speed 400 2025,2025,"Pimpri-Chinchwad, Pune, Maharashtra",240000,Yes
Triumph Scrambler 400 X,2025,"Hyderabad, Telangana",325000,Yes
Royal Enfield Bullet Standard 500,2016,"Dwarka, South West Delhi, Delhi",75000,Yes
TVS Raider Split Seat,2022,"Gurgaon, Haryana",75000,Yes
Oben EV Rorr EZ 2025,2025,"Rohini, North West Delhi, Delhi",125000,Yes
Honda Activa 125 BS6,2024,"Noida, Uttar Pradesh",70000,Yes
Ola S1X 4 kWh,2025,,,Yes
KTM Duke 200 ABS,2023,"Bangalore, Karnataka",165000,Yes
Bajaj Pulsar F250,2022,"Gorakhpur, Uttar Pradesh",100000,Yes
Ather 450X Gen 3,2023,"Ghatkopar, Mumbai, Maharashtra",140000,Yes
Yamaha Fascino S,2017,Uttar Pradesh,35000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2022,"Visakhapatnam, Andhra Pradesh",100000,Yes
Hero Electric Photon LP,2021,"Keeranur, Pudukkottai, Tamil Nadu",30000,Yes
Yamaha R15 V4,2022,"HSR Layout, Bangalore, Karnataka",180000,Yes
Honda Activa,2018,"Dera Bassi, Mohali, Punjab",63000,Yes
Ola S1X Plus,2024,"Badlapur, Thane, Maharashtra",60000,Yes
Bajaj CT 100,2016,"Sanganer, Jaipur, Rajasthan",30000,Yes
Ola S1 Pro,2023,"Vasai-Virar, Palghar, Maharashtra",140000,Yes
TVS Apache RTR 160,2008,"Pimpri-Chinchwad, Pune, Maharashtra",19000,Yes
Jawa forty two BS6,2021,"Karawal Nagar, North East Delhi, Delhi",120000,Yes
TVS Jupiter BS6,2022,"Greater Noida, Gautam Buddha Nagar, Uttar Pradesh",58000,Yes
TVS Sport,2022,"Chhainsa, Faridabad, Haryana",45000,Yes
Jawa 350,2024,"Bangalore, Karnataka",205000,Yes
Yamaha Rajdoot,1972,"Sholinganallur, Chennai, Tamil Nadu",60000,Yes
Kabira Mobility KM 4000,2023,"Chembur, Mumbai, Maharashtra",90000,Yes
Bajaj Avenger Street 150,2017,"Andheri East, Mumbai, Maharashtra",30000,Yes
Aprilia SR 160 Carbon ABS,2020,"Katni, Madhya Pradesh",75000,Yes
Ola S1 X Plus Gen 3,2025,Telangana,149000,Yes
Hero Duet 110,2017,"Pune, Maharashtra",32000,Yes
Hero CBZ Xtreme,2014,"Bangalore, Karnataka",40000,Yes
Bajaj Pulsar RS 200 ABS,2016,"Gurgaon, Haryana",65000,Yes
Hero Splendor Plus,2023,"Surat, Gujarat",58000,Yes
Benelli Imperiale 400,2021,"Electronic City, Bangalore, Karnataka",140000,Yes
Bajaj Platina 100,2014,"Kanjhawala, North West Delhi, Delhi",15000,Yes
Bajaj Pulsar 220 DTSi,2018,"Aurangabad, Maharashtra",50000,Yes
Bajaj Avenger Street 220,2017,"Kurla West, Mumbai, Maharashtra",50000,Yes
Hero Passion XTec,2023,"Tirumalagiri, Hyderabad, Telangana",65000,Yes
Honda CB Trigger,2014,"Hyderabad, Telangana",23000,Yes
Bajaj Dominar 250,2020,"Sanwer, Indore, Madhya Pradesh",120000,Yes
Royal Enfield Classic 350,2012,"Vijayawada, Andhra Pradesh",115000,Yes
Royal Enfield Himalayan 452,2021,"Jogeshwari, Mumbai, Maharashtra",175000,Yes
Husqvarna Svartpilen 250,2020,"Bangalore, Karnataka",150000,Yes
Yamaha SZ-R,2013,"Velachery, Chennai, Tamil Nadu",15000,Yes
Yamaha FZ-S FI V3,2019,"Chennai, Tamil Nadu",65000,Yes
Yamaha FZ-S,2013,"Anna Nagar, Chennai, Tamil Nadu",35000,Yes
Hero Xtreme 125R,2024,"Vijayawada, Andhra Pradesh",80000,Yes
Bajaj Platina 100 ES,2016,"Sirsa, Haryana",25000,Yes
TVS Raider SX,2024,"Surat, Gujarat",100000,Yes
TVS NTORQ 125,2021,"West Delhi, Delhi",45000,Yes
Honda Shine 125 Drum,2022,"Thane, Maharashtra",70000,Yes
TVS Apache RTR 160,2016,"Goregaon, Mumbai, Maharashtra",21000,Yes
Honda Activa,2012,"Belgaum, Karnataka",30000,Yes
TVS Ronin TD Special Edition,2025,"Bangalore, Karnataka",170000,Yes
Honda Activa 125,2021,"Nakodar, Jalandhar, Punjab",75000,Yes
KTM Duke 200,2015,,,Yes
Ola S1 Pro,2024,"Hadapsar, Pune, Maharashtra",90000,Yes
Honda Activa 5G,2018,"Bharuch, Gujarat",40000,Yes
Royal Enfield Classic Signals Airborne Blue,2023,"Mysore, Karnataka",175000,Yes
Royal Enfield Classic 500,2014,"Amberpet, Hyderabad, Telangana",110000,Yes
Bajaj Avenger Cruise 220,2015,"Kandivali, Mumbai, Maharashtra",25000,Yes
TVS Apache RTR 180 BS6,2021,"Bahraich, Uttar Pradesh",80000,Yes
Yamaha R15 V4,2022,"Golconda, Hyderabad, Telangana",125000,Yes
KOMAKI XGT X5,2025,"Nizamabad, Telangana",106000,Yes
Jawa Perak,2020,"Bhopal, Madhya Pradesh",120000,Yes
TVS Jupiter Classic BS6,2023,"Nagod, Satna, Madhya Pradesh",70000,Yes
Triumph Speed 400 2025,2025,"Zirakpur, Mohali, Punjab",240000,Yes
Hero Glamour Xtec,2021,"Bokaro, Jharkhand",65000,Yes
Yamaha FZ-X,2024,"Ranchi, Jharkhand",145000,Yes
Okinawa Praise Pro,2022,"Gaya, Bihar",35000,Yes
Honda CB Unicorn,2016,"Surat, Gujarat",50000,Yes
Royal Enfield Hunter 350 Metro,2024,"Hyderabad, Telangana",185000,Yes
Honda Activa 4G,2017,"Kolkata, West Bengal",35000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2023,"Marathahalli, Bangalore, Karnataka",130000,Yes
Yamaha FZS 25 BS6,2021,"Navi Mumbai, Maharashtra",120000,Yes
Honda Activa 125,2023,"Chennai, Tamil Nadu",80000,Yes
Hero Maestro Edge 110 BS6,2017,"Pune, Maharashtra",38000,Yes
TVS Jupiter ZX,2022,"New Delhi, Delhi",70000,Yes
Yamaha Fazer FI V2,2016,"Bandra East, Mumbai, Maharashtra",40000,Yes
TVS NTORQ 125 XT,2023,"Bangalore, Karnataka",110000,Yes
Bajaj Pulsar NS 125,2023,"Hebbal, Bangalore, Karnataka",80000,Yes
Jawa forty two BS6,2020,"Rewari, Haryana",129000,Yes
TVS Sport,2014,"Siswa Bazar, Maharajganj, Uttar Pradesh",18000,Yes
Bajaj Avenger Street 160 BS6,2022,"Solapur, Maharashtra",75000,Yes
Bajaj Pulsar RS 200 ABS,2017,"Sarjapur Road, Bangalore, Karnataka",95000,Yes
Revolt RV 400,2022,"Perambur, Chennai, Tamil Nadu",90000,Yes
TVS Apache RTR 200 4V ABS,2020,"Sholinganallur, Chennai, Tamil Nadu",80000,Yes
Benelli Imperiale 400 BS6,2022,"Mumbai, Maharashtra",200000,Yes
Jawa 42 Dual Channel ABS Cosmic Carbon,2023,"Pune, Maharashtra",200000,Yes
Hero Maestro,2015,"Ambala, Haryana",28500,Yes
KTM Duke 200,2016,"Vikhroli, Mumbai, Maharashtra",100000,Yes
Hero Destini 125 VX,2021,"Giridih, Jharkhand",50000,Yes
Hero Pleasure,2011,"Lucknow, Uttar Pradesh",25000,Yes
,,,,Yes
Hero Glamour 125 Drum,2017,"Dwarka, South West Delhi, Delhi",35000,Yes
Royal Enfield Classic 350 Single Channel BS6,2020,"South Delhi, Delhi",140000,Yes
KTM Duke 200 2022,2022,"Aruppukkottai, Virudhunagar, Tamil Nadu",170000,Yes
Yamaha FZ-X,2023,"Ambattur, Chennai, Tamil Nadu",90000,Yes
TVS Raider 125,2023,"Aurangabad, Maharashtra",80000,Yes
Ola S1 Pro Gen 3 4kWh,2025,"Rahata, Ahilyanagar, Maharashtra",130000,Yes
Bajaj V15,2017,"Gandhinagar, Gujarat",35000,Yes
Ola S1,2022,"Pimpri-Chinchwad, Maharashtra",95000,Yes
Hero Splendor Plus Xtec,2022,"Mayur Vihar, East Delhi, Delhi",65000,Yes
Hero Glamour Xtec,2022,,,Yes
Suzuki Gixxer 150,2015,"Navi Mumbai, Maharashtra",38000,Yes
TVS Apache RTR 160 2025,2025,"Madhepura, Bihar",130000,Yes
Bajaj Avenger Street 160 BS6,2023,"Bandra, Mumbai, Maharashtra",80000,Yes
Honda CB Trigger,2014,"Nakur, Saharanpur, Uttar Pradesh",30000,Yes
KTM 390 Adventure,2020,"Bangalore, Karnataka",280000,Yes
Vespa SXL 125,2022,"Pune, Maharashtra",125000,Yes
TVS Apache RTR 160 4V BS6,2020,"Kanchrapara, North 24 Parganas, West Bengal",100000,Yes
Honda CB350 DLX Pro,2024,"Ahmedabad, Gujarat",205000,Yes
TVS Raider 125,2022,"Valapady, Salem, Tamil Nadu",62000,Yes
KTM Duke 390,2016,"Yelahanka, Bangalore, Karnataka",135000,Yes
Ola S1 X Gen 3 2kWh,2025,"Rewari, Haryana",90000,Yes
Suzuki Burgman Street Standard Edition 2025,2025,"Mumbai, Maharashtra",5000,Yes
Bajaj Pulsar N160,2024,"Chiplun, Ratnagiri, Maharashtra",120000,Yes
Yamaha FZ-S FI V2,2019,"Bangalore, Karnataka",65000,Yes
Bajaj Discover DTSi 125,2018,"Madhubani, Bihar",30000,Yes
Royal Enfield Classic 500,2016,"Ranchi, Jharkhand",95000,Yes
TVS Scooty Pep Plus,2021,"Didwana-Kuchaman, Rajasthan",30000,Yes
Honda Shine 125,2022,"Saharanpur, Uttar Pradesh",65000,Yes
Honda Activa 6G,2021,"Ghaziabad, Uttar Pradesh",51000,Yes
Royal Enfield Meteor 350 Stellar,2023,"Gandhi Nagar, East Delhi, Delhi",210000,Yes
TVS Apache RTR 160 4V,2018,"Salem, Tamil Nadu",61000,Yes
Honda SP 125 BSVI,2022,"Bokaro, Jharkhand",70000,Yes
Aprilia SXR 125,2022,"Malad, Mumbai, Maharashtra",80000,Yes
Jawa forty two,2020,"Hyderabad, Telangana",125000,Yes
Bajaj Platina 110 H-Gear BS6,2021,"Pimpri-Chinchwad, Maharashtra",55000,Yes
Royal Enfield Himalayan 452,2022,"Trivandrum, Kerala",220000,Yes
Suzuki Gixxer SF SP,2018,"Andheri West, Mumbai, Maharashtra",55000,Yes
TVS Jupiter BS6,2021,"Kurnool, Andhra Pradesh",75000,Yes
Evtric Ride,2023,"Bangalore, Karnataka",85000,Yes
Royal Enfield Bullet Electra,2021,"Udupi, Karnataka",145000,Yes
Royal Enfield Thunderbird X 500,2016,"Velachery, Chennai, Tamil Nadu",99999,Yes
Hero Glamour 125 Disc,2025,"North East Delhi, Delhi",88000,Yes
Yamaha FZ FI V2,2019,"Kishanganj, Bihar",45000,Yes
Royal Enfield Meteor 350 Stellar,2023,"Bankura, West Bengal",200000,Yes
Hero Passion Pro BS6,2019,Bihar,50000,Yes
Bajaj Pulsar 150 DTSi,2014,"Tigaon, Faridabad, Haryana",24000,Yes
Royal Enfield Hunter 350 Retro,2024,"Bokaro, Jharkhand",160000,Yes
Honda CB Unicorn,2014,"Vasai-Virar, Palghar, Maharashtra",60000,Yes
Jawa forty two,2021,Uttar Pradesh,160000,Yes
Yamaha MT-15 Ver 2.0,2023,"Kakinada, Andhra Pradesh",145000,Yes
TVS Sport,2019,"Udaipur, Rajasthan",30000,Yes
TVS Apache RTR 200 4V ABS Race Edition 2.0,2019,"Parel, Mumbai, Maharashtra",60000,Yes
Bajaj Pulsar NS 160,2021,"Ameerpet, Hyderabad, Telangana",85000,Yes
Yamaha Saluto 125,2016,"Bannerghatta Road, Bangalore, Karnataka",30000,Yes
Royal Enfield Himalayan,2021,"Beed, Maharashtra",210000,Yes
BMW G 310 R,2020,"Bellary, Karnataka",200000,Yes
TVS Apache RTR 200 4V,2019,"Ambattur, Chennai, Tamil Nadu",60000,Yes
Royal Enfield Classic Signals Airborne Blue,2019,"KR Puram, Bangalore, Karnataka",169000,Yes
Honda CB300F Deluxe Pro,2023,Delhi,135000,Yes
Yamaha RX 135,1997,"Lucknow, Uttar Pradesh",40000,Yes
Yamaha YZF R15 S,2018,Tamil Nadu,80000,Yes
Jawa forty two BS6,2020,"Pune, Maharashtra",145000,Yes
Hero Glamour BS6,2020,"Araria, Bihar",52000,Yes
Bajaj V12,2020,"Huzur, Bhopal, Madhya Pradesh",35000,Yes
Honda CB300F,2024,"Trivandrum, Kerala",160000,Yes
Benelli Imperiale 400,2022,"Hyderabad, Telangana",160000,Yes
Benelli TRK 502X,2021,"Bahadurpura, Hyderabad, Telangana",500000,Yes
Bajaj Chetak Premium,2021,"Pimpri-Chinchwad, Pune, Maharashtra",65000,Yes
Jawa 42 Dual Channel ABS AllStar Black,2022,"Varanasi, Uttar Pradesh",170000,Yes
Honda Activa 6G H-smart,2024,"Bagaha, West Champaran, Bihar",90000,Yes
Hero XPulse 200T BS6,2021,"North 24 Parganas, West Bengal",85000,Yes
Bajaj Pulsar 180 DTSi,2016,"Faridabad, Haryana",35000,Yes
Bajaj Pulsar 220 DTSi,2013,"Mysore, Karnataka",45000,Yes
Bajaj Pulsar 200 NS,2017,"Jaipur, Rajasthan",100000,Yes
Honda CB Hornet 160R ABS,2016,"Guindy, Chennai, Tamil Nadu",35000,Yes
Royal Enfield Classic 350,2018,"Ameerpet, Hyderabad, Telangana",151000,Yes
,,"Thane, Maharashtra",130000,Yes
Honda CB350 DLX Pro,2020,"Korea, Chhattisgarh",150000,Yes
Bajaj Pulsar N160 Dual Channel ABS,2022,"Nadia, West Bengal",115000,Yes
Ola S1X 4 kWh,2025,"Jodhpur, Rajasthan",120000,Yes
Honda Dio Standard,2014,"Surat, Gujarat",30000,Yes
Hero HF Deluxe BS6,2022,"Balramgarh, Faridabad, Haryana",45000,Yes
Bajaj Pulsar 125,2022,"Chennai, Tamil Nadu",70000,Yes
,,"Kaithal, Haryana",92000,Yes
Yamaha FZ,2014,"Mumbai, Maharashtra",30000,Yes
Yamaha RXZ,2002,"Irinjalakuda, Thrissur, Kerala",120000,Yes
Bajaj V15,2016,"Gurgaon, Haryana",28000,Yes
Yamaha MT-15,2020,"Varanasi, Uttar Pradesh",90000,Yes
Suzuki Burgman Street,2025,"Charminar, Hyderabad, Telangana",115000,Yes
Bicycle Keysto,2023,"Gautam Buddha Nagar, Uttar Pradesh",3000,No
Hero Splendor Plus Xtec,2023,"Hyderabad, Telangana",70000,Yes
Ather 450X Gen 3,2025,"Secunderabad, Hyderabad, Telangana",187000,Yes
BSA Gold Star 650,2024,"Whitefield, Bangalore, Karnataka",390000,Yes
Yamaha R15M,2024,"Navi Mumbai, Maharashtra",190000,Yes
Honda CBR 250R,2011,"Bangalore, Karnataka",45000,Yes
Honda Activa,2011,"Lucknow, Uttar Pradesh",20000,Yes
Royal Enfield Meteor 350 Fireball,2023,"Cuttack, Orissa",178000,Yes
Bajaj Dominar 400 ABS BS6,2022,"Rajajinagar, Bangalore, Karnataka",148000,Yes
Jawa 42 Dual Channel ABS Cosmic Carbon,2023,"Hoskote, Bangalore, Karnataka",155000,Yes
Yamaha Fascino,2016,"Kolhapur, Maharashtra",30000,Yes
Yamaha Fazer 25,2018,"Pimpri-Chinchwad, Maharashtra",55000,Yes
Bajaj Avenger Street 150,2017,"Ahmedabad, Gujarat",35000,Yes
Royal Enfield Hunter 350 Metro,2024,"New Delhi, Delhi",165000,Yes
Hero Maestro Edge,2018,"Hyderabad, Telangana",30000,Yes
Yamaha FZ-S FI V2,2017,"Shaikpet, Hyderabad, Telangana",60000,Yes
Honda CB Shine,2010,"Velachery, Chennai, Tamil Nadu",30000,Yes
Jawa 42 Dual Channel ABS Cosmic Carbon,2023,"Gautam Buddha Nagar, Uttar Pradesh",120000,Yes
Hero Maestro Edge,2018,"Mohanlalganj, Lucknow, Uttar Pradesh",15000,Yes
Bajaj Pulsar 135LS,2011,"Kolkata, West Bengal",18000,Yes
TVS Raider 125,2021,"Bhubaneshwar, Orissa",60000,Yes
Royal Enfield Classic 350,2014,"Indore, Madhya Pradesh",145000,Yes
Hero Electric Optima HX Dual Battery,2022,"Kolkata, West Bengal",20000,Yes
Royal Enfield Himalayan 452,2024,"Guwahati, Assam",300000,Yes
Royal Enfield Thunderbird 350,2017,"Pune, Maharashtra",100000,Yes
Ather 450X,2022,"Kundara, Kollam, Kerala",55000,Yes
Bajaj Dominar 400,2023,"Jalandhar, Punjab",190000,Yes
Yamaha MT-15 Ver 2.0,2024,"Hyderabad, Telangana",140000,Yes
Suzuki Access 125,2017,"Bangalore, Karnataka",35000,Yes
Yamaha FZ25,2017,"Bangalore, Karnataka",80000,Yes
TVS Scooty Pep,2012,"Hadapsar, Pune, Maharashtra",13000,Yes
Hero Maestro,2015,"Ernakulam, Kerala",19000,Yes
Ather Rizta S,2024,"Gir Somnath, Gujarat",105000,Yes
Royal Enfield Bullet Standard 350,2016,"Yellareddy, Kamareddy, Telangana",135000,Yes
Bajaj Avenger 220 DTS-i,2016,"Tikamgarh, Madhya Pradesh",60000,Yes
TVS Jupiter ZX,2017,"Delhi Cantonment, New Delhi, Delhi",34999,Yes
TVS Ronin TD,2023,"Pune, Maharashtra",140000,Yes
Bajaj Avenger Street 150,2017,"Marathahalli, Bangalore, Karnataka",55000,Yes
Honda 2023 Activa 125 Disc,2023,"Thane, Maharashtra",80000,Yes
Suzuki Hayate,2012,"West Delhi, Delhi",10000,Yes
Honda CB Unicorn,2019,"Hadapsar, Pune, Maharashtra",70000,Yes
TVS Apache RTR 160 4V,2020,"Udaipur, Rajasthan",60000,Yes
Bajaj Pulsar F250,2022,"Udupi, Karnataka",140000,Yes
Bajaj Avenger Street 180,2019,"Kalyan, Thane, Maharashtra",55000,Yes
Hero XPulse,2019,"Chembur, Mumbai, Maharashtra",80000,Yes
Hero Xpulse 200 4V,2022,"South West Delhi, Delhi",95000,Yes
Bajaj Discover 100,2013,"New Delhi, Delhi",15000,Yes
Hero XPulse 200T,2019,"Tiruvannamalai, Tamil Nadu",60000,Yes
Ola S1X Plus,2024,"Thane, Maharashtra",76000,Yes
Revolt RV 400,2024,"Ghaziabad, Uttar Pradesh",100000,Yes
Bajaj Avenger Street 150,2016,"Bokaro, Jharkhand",35000,Yes
Royal Enfield Super Meteor 650,2024,"Hubballi, Dharwad, Karnataka",450000,Yes
Yezdi Roadster Dark,2022,"Rewari, Haryana",165000,Yes
Honda CB350RS,2022,"Bangalore, Karnataka",195000,Yes
Yamaha R15M,2023,"Hoshangabad, Madhya Pradesh",150000,Yes
Royal Enfield Interceptor 650 Twin,2024,"Hyderabad, Telangana",340000,Yes
Bajaj Freedom 125 NG04 Disc LED,2025,"Junagadh, Gujarat",105000,Yes
Yamaha FZ-S,2013,"Pimpri-Chinchwad, Pune, Maharashtra",40000,Yes
TVS Raider Split Seat,2021,"Domjur, Howrah, West Bengal",60000,Yes
Honda Shine 125 Drum OBD2,2022,"Bahadurpura, Hyderabad, Telangana",59999,Yes
TVS Apache RTR 160 4V,2017,"Darbhanga, Bihar",55000,Yes
,,"Surat, Gujarat",80000,Yes
Yamaha FZ-S FI Ver 4.0 DLX,2024,"Silvassa, Dadra Nagar Haveli",130000,Yes
Royal Enfield Meteor 350,2021,"Mubarakpur, Azamgarh, Uttar Pradesh",170000,Yes
Royal Enfield Hunter 350 Metro,2024,"Dharwad, Karnataka",200000,Yes
Jawa 42 FJ,2024,"New Delhi, Delhi",180000,Yes
Royal Enfield Continental GT 650,2025,"Bokaro, Jharkhand",380000,Yes
,,"Mumbai, Maharashtra",66999,Yes
Mahindra Flyte,2012,"Marredpally, Hyderabad, Telangana",10000,Yes
Bajaj Avenger 220 DTS-i,2015,"Mysore, Karnataka",40000,Yes
,,"Hyderabad, Telangana",65000,Yes
Honda Activa DLX Limited Edition,2024,"Egmore, Chennai, Tamil Nadu",75000,Yes
BMW G 310 R,2019,"Thane, Maharashtra",200000,Yes
Yamaha FZ-S FI V2,2016,"Bhubaneshwar, Orissa",50000,Yes
TVS Zest 110 Gloss Series,2015,"Berhampore, Murshidabad, West Bengal",20000,Yes
Hero Passion Plus 2023,2023,"Thrissur, Kerala",75000,Yes
TVS Sport BS6,2021,"Ghaziabad, Uttar Pradesh",44500,Yes
Hero Hunk,2010,"Pimpri-Chinchwad, Pune, Maharashtra",70000,Yes
Honda Activa i,2014,"Gorakhpur, Uttar Pradesh",20000,Yes
